Name,County,Class,Population,
Indian Lake,Crawford,CDP,689,
Indian Point,Stone,Village,550,
Innsbrook,Warren,Village,596,
Ionia,"Benton, Pettis",Village,71,
Irena,Worth,Village,14,
Iron Mountain Lake,St. Francois,4th,640,
Irondale,Washington,4th,368,
Ironton,Iron,4th,1475,
Irwin,Barton,CDP,47,
Jackson,Cape Girardeau,4th,15481,
Jacksonville,Randolph,Village,122,
Jameson,Daviess,Village,73,
Jamesport,Daviess,4th,559,
Jamestown,Moniteau,4th,330,
Jane,McDonald,Village,359,
Jasper,Jasper,4th,906,
Jefferson City,"Callaway, Cole",Home Rule,43228,
Jennings,St. Louis,3rd,12895,
Jerico Springs,Cedar,Village,160,
Jonesburg,Montgomery,4th,726,
Joplin,"Jasper, Newton",Home Rule,51762,
Josephville,St. Charles,Village,512,
Junction City,Madison,Village,283,
Kahoka,Clark,4th,1961,
Kansas City,"Cass, Clay, Jackson, Platte",Home Rule,508090,
Kearney,Clay,4th,10404,
Kelso,Scott,Village,554,
Kennett,Dunklin,3rd,10515,
Keytesville,Chariton,4th,440,
Kidder,Caldwell,4th,267,
Kimberling City,Stone,4th,2344,
Kimmswick,Jefferson,4th,133,
King City,Gentry,4th,799,
Kingdom City,Callaway,Village,134,
Kingston,Caldwell,4th,290,
Kingsville,Johnson,4th,245,
Kinloch,St. Louis,4th,263,
Kirbyville,Taney,Village,195,
Kirksville,Adair,3rd,17530,
Kirkwood,St. Louis,Home Rule,29461,
Kissee Mills,Taney,CDP,1023,
Knob Lick,St. Francois,CDP,147,
Knob Noster,Johnson,4th,2782,
Knox City,Knox,4th,191,
Koshkonong,Oregon,4th,196,
La Belle,Lewis,4th,664,
La Due,Henry,Village,27,
La Grange,Lewis,Special Charter,825,
La Monte,Pettis,4th,1135,
La Plata,Macon,4th,1308,
La Russell,Jasper,Village,118,
La Tour,Johnson,CDP,167,
LaBarque Creek,Jefferson,CDP,1658,
Laclede,Linn,4th,305,
Laddonia,Audrain,4th,502,
Ladue,St. Louis,4th,8989,
Lake Annette,Cass,4th,107,
Lake Arrowhead,NA,CDP,363,
Lake Lafayette,Lafayette,4th,277,
Lake Lotawana,Jackson,4th,2310,
Lake Mykee,Callaway,4th,350,
Lake Ozark,"Camden, Miller",4th,2077,
Lake St. Clair,Franklin,CDP,825,
Lake St. Louis,St. Charles,4th,16707,
Lake Tapawingo,Jackson,4th,794,
Lake Tekakwitha,Jefferson,Village,230,
Lake Timberline,St. Francois,CDP,726,
Lake Viking,Daviess,CDP,486,
Lake Waukomis,Platte,4th,888,
Lake Winnebago,Cass,4th,1433,
Lakeshire,St. Louis,4th,1554,
Lakeside,Miller,4th,0,
Lamar,Barton,4th,4266,
Lamar Heights,Barton,4th,170,
Lambert,Scott,NA,48,
Lanagan,McDonald,4th,373,
Lancaster,Schuyler,4th,675,
Laredo,Grundy,4th,156,
Latham,Moniteau,CDP,69,
Lathrop,Clinton,4th,2271,
Laurie,"Camden, Morgan",4th,939,
Lawson,"Clay, Ray",4th,2541,
Leadington,St. Francois,4th,764,
Leadwood,St. Francois,4th,1178,
Leasburg,Crawford,Village,326,
Leawood,Newton,Village,620,
Lebanon,Laclede,3rd,15013,
Lee s Summit,"Cass, Jackson",Home Rule,101108,
Leeton,Johnson,4th,532,
Leisure Lake,Grundy,CDP,166,
Lemay,St. Louis,CDP,17117,
Leonard,Shelby,Village,57,
Leslie,Franklin,Village,136,
Levasy,Jackson,4th,77,
Lewis and Clark,Buchanan,Village,96,
Lewistown,Lewis,4th,521,
Lexington,Lafayette,3rd,4652,
Liberal,Barton,4th,629,
Liberty,Clay,Special Charter,30167,
Licking,Texas,4th,2851,
Lilbourn,New Madrid,4th,994,
Lincoln,Benton,4th,1144,
Linn,Osage,4th,1350,
Linn Creek,Camden,4th,216,
Linneus,Linn,4th,281,
Lithium,Perry,CDP,92,
Livonia,Putnam,Village,52,
Loch Lloyd,Cass,Village,863,
Lock Springs,Daviess,Village,40,
Lockwood,Dade,4th,846,
Lohman,Cole,4th,175,
Loma Linda,Newton,Village,943,
Lone Jack,Jackson,4th,1492,
Longtown,Perry,Village,90,
Louisburg,Dallas,Village,134,
Louisiana,Pike,3rd,3199,
Lowry City,St. Clair,4th,613,
Lucerne,Putnam,Village,57,
Ludlow,Livingston,Village,111,
Lupus,Moniteau,4th,28,
Luray,Clark,Village,73,
Macks Creek,Camden,CDP,365,
Macon,Macon,3rd,5457,
Madison,Monroe,4th,515,
Maitland,Holt,4th,276,
Malden,Dunklin,3rd,3706,
Malta Bend,Saline,4th,187,
Manchester,St. Louis,4th,18333,
Mansfield,Wright,4th,1193,
Maplewood,St. Louis,Home Rule,8269,
Marble Hill,Bollinger,4th,1388,
Marceline,"Chariton, Linn",3rd,2123,
Marionville,Lawrence,4th,2054,
Marlborough,St. Louis,Village,2221,
Marquand,Madison,4th,186,
Marshall,Saline,3rd,13806,
Marshfield,Webster,4th,7458,
Marston,New Madrid,4th,397,
Marthasville,Warren,4th,1245,
Martinsburg,Audrain,4th,251,
Martinsville,Harrison,Village,0,
Maryland Heights,St. Louis,3rd,28284,
Maryville,Nodaway,3rd,10633,
Matthews,New Madrid,4th,534,
Maysville,DeKalb,4th,1095,
Mayview,Lafayette,4th,208,
McBaine,Boone,Village,17,
McCord Bend,Stone,Village,212,
McFall,Gentry,Village,119,
McKittrick,Montgomery,4th,77,
Meadville,Linn,4th,415,
Medill,Clark,CDP,82,
Mehlville,St. Louis,CDP,28955,
Memphis,Scotland,4th,1731,
Mendon,Chariton,4th,163,
Mercer,Mercer,4th,263,
Merriam Woods,Taney,4th,2006,
Merwin,Bates,Village,69,
Meta,Osage,4th,180,
Metz,Vernon,Village,22,
Mexico,Audrain,3rd,11469,
Miami,Saline,Special Charter,152,
Middle Grove,Monroe,CDP,57,
Middletown,Montgomery,4th,171,
Milan,Sullivan,4th,1819,
Milford,Barton,Village,24,
Mill Spring,Wayne,Village,159,
Millard,Adair,Village,79,
Miller,Lawrence,4th,704,
Millersville,Cape Girardeau,CDP,240,
Milo,Vernon,Village,57,
Mindenmines,Barton,4th,271,
Mine La Motte,Madison,CDP,364,
Miner,Scott,4th,916,
Mineral Point,Washington,Village,231,
Miramiguoa Park,Franklin,Village,126,
Missouri City,Clay,4th,217,
Moberly,Randolph,3rd,13783,
Mokane,Callaway,4th,188,
Moline Acres,St. Louis,4th,2156,
Monett,"Barry, Lawrence",3rd,9576,
Monroe City,"Marion, Monroe, Ralls",4th,2652,
Montgomery City,Montgomery,4th,2811,
Monticello,Lewis,Village,104,
Montier,Shannon,CDP,49,
Montreal,Camden,CDP,119,
