Name,Type,Population,Class,CountySeat
Deerfield,city,40,village,Vernon
Deering,city,61,census designated place,Pemiscot
Defiance,city,159,census designated place,St. Charles
DeKalb,city,233,city fourth class,Buchanan
DeKalb,county,11029,county third class with township,Maysville
Dellwood,city,4914,city fourth class,St. Louis
Delta,city,376,city fourth class,Cape Girardeau
Dennis Acres,city,47,village,Newton
Dent,county,14421,county third class without township,Salem
Denton,city,82,census designated place,Pemiscot
Denver,city,32,village,Worth
Des Arc,city,131,city fourth class,Iron
Des Peres,city,9193,city fourth class,St. Louis
Desloge,city,4823,city fourth class,St. Francois
Dexter,city,7927,city fourth class,Stoddard
Diamond,city,831,city fourth class,Newton
Diehlstadt,city,157,village,Scott
Diggins,city,305,village,Webster
Dixon,city,1232,city fourth class,Pulaski
Doe Run,city,737,census designated place,St. Francois
Doniphan,city,1781,city fourth class,Ripley
Doolittle,city,564,city fourth class,Phelps
Douglas,county,11578,county third class without township,Ava
Dover,city,83,village,Lafayette
Downing,city,300,city fourth class,Schuyler
Drexel,city,968,city fourth class,Bates/Cass
Dudley,city,101,city fourth class,Stoddard
Duenweg,city,1495,city fourth class,Jasper
Dunklin,county,28283,county third class with township,Kennett
Dunlap,city,0,village,Grundy
Duquesne,city,2159,city fourth class,Jasper
Dutchtown,city,163,census designated place,Cape Girardeau
Eagle Rock,city,193,census designated place,Barry
Eagleville,city,275,village,Harrison
East Fenway,city,0,village,Lewis
East Lynne,city,294,city fourth class,Cass
East Prairie,city,2943,city fourth class,Mississippi
Easton,city,227,city fourth class,Buchanan
Edgar Springs,city,199,city fourth class,Phelps
Edgerton,city,601,city fourth class,Platte
Edina,city,1012,city fourth class,Knox
Edinburg,city,84,census designated place,Grundy
Edmundson,city,860,city fourth class,St. Louis
El Dorado Springs,city,3493,city third class,Cedar
Eldon,city,4416,city fourth class,Miller
Ellington,city,790,city fourth class,Reynolds
Ellisville,city,9985,city home rule,St. Louis
Ellsinore,city,416,city fourth class,Carter
