Name,Population,Class,County,Seat
Gower,1533,4th,"Buchanan, Clinton",
Graham,147,4th,Nodaway,
Grain Valley,15627,4th,Jackson,
Granby,2050,4th,Newton,
Grand Falls Plaza,103,Village,Newton,
Grand Pass,49,Village,Saline,
Grandin,226,4th,Carter,
Grandview,26209,4th,Jackson,
Granger,22,Village,Scotland,
Grant City,817,4th,Worth,
Grantwood,941,Village,St. Louis,
Gravois Mills,129,Village,Morgan,
Gray Summit,3055,CDP,Franklin,
Grayhawk,488,CDP,Ste. Genevieve,
Grayridge,87,CDP,Stoddard,
Grayson,61,Village,Clinton,
Green Castle,224,NA,Sullivan,
Green City,602,4th,Sullivan,
Green Park,2705,4th,St. Louis,
Green Ridge,468,4th,Pettis,
Greendale,642,4th,St. Louis,
Greenfield,1220,4th,Dade,
Greentop,388,4th,"Adair, Schuyler",
Greenville,443,4th,Wayne,
Greenwood,6021,4th,Jackson,
Grovespring,187,CDP,Wright,
Guilford,60,Village,Nodaway,
Gunn City,80,Village,Cass,
Hale,375,4th,Carroll,
Halfway,151,Village,Polk,
Hallsville,1614,4th,Boone,
Halltown,104,Village,Lawrence,
Hamilton,1690,4th,Caldwell,
Hanley Hills,2009,Village,St. Louis,
Hannibal,17108,Home Rule,"Marion, Ralls",
Hardin,571,4th,Ray,
Harris,65,4th,Sullivan,
Harrisburg,271,Village,Boone,
Harrisonville,10121,4th,Cass,
Hartsburg,133,Village,Boone,
Hartville,594,4th,Wright,
Hartwell,15,CDP,Henry,
Harviell,98,CDP,Butler,
Harwood,29,Village,Vernon,
Hawk Point,676,4th,Lincoln,
Hayti,2493,4th,Pemiscot,
Hayti Heights,515,4th,Pemiscot,
Hayward,93,CDP,Pemiscot,
Haywood City,133,Village,Scott,
Hazelwood,25458,Home Rule,St. Louis,
Henrietta,278,4th,Ray,
Herculaneum,4672,4th,Jefferson,
Hermann,2185,4th,Gasconade,
Hermitage,621,4th,Hickory,
Higbee,459,4th,Randolph,
Higginsville,4817,4th,Lafayette,
High Hill,186,4th,Montgomery,
High Ridge,4242,CDP,Jefferson,
Highlandville,963,4th,Christian,
Hillsboro,3473,4th,Jefferson,
Hillsdale,1216,Village,St. Louis,
Hoberg,48,Village,Lawrence,
Holcomb,642,4th,Dunklin,
